etext_id,title
10479,"Our Churches and Chapels by Atticus"
19723,"The Cliff Ruins of Canyon de Chelly, Arizona"
12648,"The Beautiful Necessity by Claude Fayette Bragdon"
22832,"The Cathedral Church of Canterbury [2nd ed.]"
13331,"Bell's Cathedrals: The Cathedral Church of Chiches"
19487,"Bell’s Cathedrals: The Cathedral Church of Heref"
22260,"Bell's Cathedrals: The Abbey Church of Tewkesbury"
22990,"Historical Sketch of the Cathedral of Strasburg"
24616,"Bell's Cathedrals: Southwark Cathedral by Worley"
19511,"Bell's Cathedrals: Wimborne Minster and Christchur"
14987,"The Brochure Series of Architectural Illustration,"
15020,"The Brochure Series of Architectural Illustration,"
23593,"Lectures on Architecture and Painting by Ruskin"
20346,"Bell's Cathedrals: The Cathedral Church of Winches"
20852,"Descripcion del rio Paraguay, desde la boca del Xa"
11302,"Diario de la navegacion empredida en 1781"
18289,"Diario de un viage a la costa de la mar Magallanic"
19643,"Actas capitulares desde el 21 hasta el 25 de mayo"
14366,"Argentina from a British Point of View by Various"
18157,"Fundación de la ciudad de Buenos-Aires"
18798,"Memoria dirigida al Sr. Marquez de Loreto, Virey y"
25317,"La Argentina by Martín del Barco Centenera"
15066,"La Vuelta de Martín Fierro by José Hernández"
20159,"Catálogo Instructivo de las Colecciones Mineral"
15675,"A Voyage to New Holland by William Dampier"
18723,"Proyecto de traslacion de las fronteras de Buenos"
24887,"Ulrich Schmidel by Robert Lehmann-Nitsche"
3226,"Memoirs of Journeys to Venice and the Low Countrie"
13119,"Jean Francois Millet by Estelle M.  Hurll"
19570,"Van Dyck by Estelle M.  Hurll"
13477,"Watts (1817-1904) by William Loftus Hare"
22500,"The Works of William Hogarth: In a Series of Engra"
22690,"Rembrandt and His Works by John Burnet"
19602,"Rembrandt by Estelle M.  Hurll"
15813,"Michelangelo Gedichte und Briefe"
17212,"Michelangelo by Estelle M.  Hurll"
17408,"The Florentine Painters of the Renaissance"
33342,"Old New Zealand: by Frederick Edward Maning"
22125,"The Venetian Painters of the Renaissance"
22564,"Great Artists, Vol 1. by Jennie Ellis Keysor"
22522,"Femmes d'artistes. English by Alphonse Daudet"
14056,"The French Impressionists (1860-1900) by Mauclair"
24637,"Bromide Printing and Enlarging by John A. Tennant"
20195,"Wood-Block Printing by F. Morley  Fletcher"
168,"History and Practice of the Art of Photography"
13755,"How to See the British Museum in Four Visits"
5620,"Palaces and Courts of the Exposition by James"
6841,"Mosaics of Grecian History by Willson and Wilson"
21518,"The Glugs of Gosh by C. J.  Dennis"
18733,"Die Italienische Plastik by Wilhelm Bode"
17215,"Rembrandt by Mortimer Luddington Menpes"
3151,"The City of Domes : a walk with an architect about"
3751,"The Psychology of Beauty by Howes"
4060,"The Renaissance: studies in art and poetry"
19980,"A Joy For Ever by John Ruskin"
19164,"Lectures on Art by John Ruskin"
4390,"A History of Greek Art by Frank Bigelow Tarbell"
22379,"Masters of Water-Colour Painting"
